epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
0,49,-0.5751096606254578,18.196643829345703,425.6085510253906,,,
0,99,-0.0985705628991127,24.25469970703125,1275.115234375,,,
0,149,-0.6280715465545654,17.05115509033203,376.745849609375,,,
0,179,,,,-0.4097321927547455,20.194541931152344,649.9241333007812
1,199,-1.188200831413269,7.544967174530029,103.7335205078125,,,
1,249,-0.020360412076115608,28.911399841308594,1526.720703125,,,
1,299,-0.8768885731697083,11.771007537841797,212.4376220703125,,,
1,349,-1.4799953699111938,6.281506538391113,52.981536865234375,,,
1,359,,,,-0.6526315212249756,14.041367530822754,383.7251281738281
2,399,-0.7350293397903442,15.38675308227539,294.503662109375,,,
2,449,-1.599982738494873,5.3379740715026855,40.19178771972656,,,
2,499,-1.0675617456436157,8.736807823181152,136.94882202148438,,,
2,539,,,,-0.9427463412284851,10.748516082763672,189.03053283691406
3,549,-1.1365376710891724,8.816204071044922,116.83750915527344,,,
3,599,-1.118308424949646,9.089228630065918,121.8460922241211,,,
3,649,-1.0342037677764893,10.031778335571289,147.88229370117188,,,
3,699,-1.4809136390686035,6.229966163635254,52.869651794433594,,,
3,719,,,,-1.5528104305267334,5.607285022735596,45.74604034423828
4,749,0.03083866648375988,34.48283386230469,1717.7451171875,,,
4,799,-0.928765594959259,10.975191116333008,188.51869201660156,,,
4,849,-0.8753038048744202,11.973955154418945,213.2142333984375,,,
4,899,0.3842889666557312,51.3128662109375,3876.224609375,,,
4,899,,,,0.25424203276634216,44.60378646850586,3009.318359375
5,949,-0.6139770746231079,15.884100914001465,389.1731872558594,,,
5,999,-0.9149724245071411,11.469501495361328,194.60211181640625,,,
5,1049,-0.5086944699287415,17.441564559936523,495.93585205078125,,,
5,1079,,,,-0.05882510170340538,29.260892868041992,1488.4063720703125
6,1099,-1.0200881958007812,9.721253395080566,152.767822265625,,,
6,1149,-0.7154852747917175,14.105745315551758,308.0595703125,,,
6,1199,-1.4454354047775269,6.3905134201049805,57.369956970214844,,,
6,1249,-0.4722190499305725,19.227869033813477,539.3875732421875,,,
6,1259,,,,-0.6527559161186218,14.396036148071289,380.4903869628906
7,1299,-1.5933915376663208,5.324084758758545,40.80641555786133,,,
7,1349,-1.3550137281417847,7.149892330169678,70.64904022216797,,,
7,1399,-0.9745085835456848,11.402097702026367,169.6724853515625,,,
7,1439,,,,-1.5128709077835083,5.983356475830078,50.25333786010742
8,1449,-1.112501859664917,8.633543968200684,123.48611450195312,,,
8,1499,-1.408704161643982,6.633994102478027,62.43323516845703,,,
8,1549,-1.4057365655899048,6.506598472595215,62.86131286621094,,,
8,1599,-1.231215476989746,7.991442680358887,93.95167541503906,,,
8,1619,,,,-1.2687894105911255,7.169387340545654,90.4612045288086
9,1649,-1.6418293714523315,4.946866035461426,36.49980926513672,,,
9,1699,-1.13167405128479,8.35700511932373,118.15333557128906,,,
9,1749,-1.2949445247650146,5.771627426147461,81.12889099121094,,,
9,1799,-1.5626424551010132,5.199955940246582,43.80034637451172,,,
9,1799,,,,-0.5599220991134644,14.648550987243652,486.4768981933594
10,1849,-0.8099734783172607,12.856987953186035,247.8258056640625,,,
10,1899,-1.5043163299560547,5.771536350250244,50.0960807800293,,,
10,1949,-1.6373233795166016,5.317744255065918,36.880489349365234,,,
10,1979,,,,-1.2560266256332397,7.909713268280029,90.32008361816406
11,1999,-1.6759116649627686,5.016371726989746,33.744911193847656,,,
11,2049,-1.002631664276123,9.235275268554688,159.0334014892578,,,
11,2099,-0.9964923858642578,9.700101852416992,161.2974853515625,,,
11,2149,-1.2904791831970215,7.524688720703125,81.96734619140625,,,
11,2159,,,,-1.6003323793411255,5.478809356689453,40.93227005004883
12,2199,-1.47121000289917,5.37574577331543,54.06422805786133,,,
